mac,x,y,z
14-15-92-00-12-91-b2-ce,4.25,27.67,1.98
14-15-92-00-12-91-bd-c0,4.57,27.37,2.7
14-15-92-00-12-91-cd-f2,5.67,27.37,2.22
14-15-92-00-12-91-c6-c0,6.36,27.37,2.8
14-15-92-00-12-91-b2-7c,7.4,27.37,2.42
14-15-92-00-12-91-bf-c6,8.15,27.37,2.85
14-15-92-00-12-91-b3-9e,9.13,27.37,2.28
14-15-92-00-12-91-b0-7f,10.4,27.37,2.37
14-15-92-00-12-91-c7-e6,11.36,27.37,2.8
14-15-92-00-12-91-be-ed,12.53,27.37,2.3
14-15-92-00-12-91-bb-40,13.75,27.37,2.65
14-15-92-00-12-91-c1-fe,3.03,28.07,2.54
14-15-92-00-12-91-b8-07,3.83,28.07,2.54
14-15-92-00-12-91-b2-ca,4.8,28.07,2.54
14-15-92-00-12-91-b0-20,5.74,28.07,2.54
14-15-92-00-12-91-b6-d8,6.76,28.07,2.54
14-15-92-00-12-91-c6-31,7.86,28.07,2.54
14-15-92-00-12-91-cc-8b,8.93,28.07,2.54
14-15-92-00-12-91-b0-3d,10.13,28.07,2.54
14-15-92-00-12-91-c2-4c,11.28,28.07,2.54
14-15-92-00-12-91-cc-0d,12.18,28.07,2.54
14-15-92-00-12-91-b0-47,13.18,28.07,2.54
14-15-92-00-12-91-bc-97,14.18,28.07,2.54
14-15-92-00-12-91-c1-3d,14.93,28.07,2.54
14-15-92-00-12-91-be-d2,15.73,28.07,2.54
14-15-92-00-12-91-b1-cb,1.98,29.35,3.6
14-15-92-00-12-91-b9-4f,3.13,29.35,3.6
14-15-92-00-12-91-c3-3e,4.08,29.35,3.6
14-15-92-00-12-91-1c-be,5.18,29.35,3.6
14-15-92-00-12-91-cc-c8,6.38,29.35,3.6
14-15-92-00-12-91-b1-a5,7.45,29.35,3.6
14-15-92-00-12-91-b6-3b,8.3,29.35,3.6
14-15-92-00-12-91-c7-8e,8.8,29.35,3.6
14-15-92-00-12-91-b9-02,10.17,29.35,3.6
14-15-92-00-12-91-c4-43,11.08,29.35,3.6
14-15-92-00-12-91-b6-15,12.12,29.35,3.6
14-15-92-00-12-91-cf-33,12.89,29.35,3.6
14-15-92-00-12-91-b8-bd,14.11,29.35,3.6
14-15-92-00-12-91-b3-2d,15.13,29.35,3.6
14-15-92-00-12-91-c2-1d,3.95,29.1,2.53
14-15-92-00-12-91-c2-16,5.51,29.05,2.53
14-15-92-00-12-91-ca-2d,7.53,29.22,2.53
14-15-92-00-12-91-c7-ee,9.53,29.02,2.53
14-15-92-00-12-91-bb-04,11.73,29.27,2.53
14-15-92-00-12-91-c8-78,13.78,29.01,2.53
14-15-92-00-12-91-b8-5a,15.58,28.93,2.53
14-15-92-00-12-91-b2-f9,2.98,30.13,2.52
14-15-92-00-12-91-bd-6f,4.33,30.21,2.52
14-15-92-00-12-91-c2-f6,5.3,30.21,2.52
14-15-92-00-12-91-c1-8d,6.28,30.17,2.52
14-15-92-00-12-91-c4-74,7.51,30.17,2.52
14-15-92-00-12-91-c4-bb,8.58,30.17,2.52
14-15-92-00-12-91-b3-84,9.58,30.17,2.52
14-15-92-00-12-91-b0-a8,10.45,30.17,2.52
14-15-92-00-12-91-bf-c4,11.32,30.17,2.52
14-15-92-00-12-91-c5-97,12.26,30.17,2.52
14-15-92-00-12-91-c9-0d,13.28,30.17,2.52
14-15-92-00-12-91-ca-91,14.28,30.17,2.52
14-15-92-00-12-91-b3-5b,15.53,30.17,2.52
14-15-92-00-12-91-bb-a0,16.53,29.72,2.5
14-15-92-00-12-91-b3-28,3.98,30.37,3.6
14-15-92-00-12-91-b7-a5,5.08,30.47,3.6
14-15-92-00-12-91-c7-b0,6.18,30.47,3.6
14-15-92-00-12-91-c8-73,7.2,30.47,3.6
14-15-92-00-12-91-c0-4d,8.68,30.47,3.6
14-15-92-00-12-91-c5-b5,9.58,30.47,3.6
14-15-92-00-12-91-c1-15,10.53,30.42,3.6
14-15-92-00-12-91-be-03,11.35,30.27,3.6
14-15-92-00-12-91-bf-a6,12.35,30.42,3.6
14-15-92-00-12-91-be-64,13.28,30.42,3.6
14-15-92-00-12-91-c5-96,14.31,30.42,3.6
14-15-92-00-12-91-c0-1c,15.21,30.42,3.6
14-15-92-00-12-91-c8-dd,7.83,30.92,3.53
14-15-92-00-12-91-b1-8b,4.0,31.97,3.66
14-15-92-00-12-91-bf-c5,4.97,31.97,3.66
14-15-92-00-12-91-b0-e9,6.0,31.97,3.66
14-15-92-00-12-91-1f-a0,7.01,31.97,3.66
14-15-92-00-12-91-b2-ba,8.16,31.97,3.66
14-15-92-00-12-91-b1-ae,9.08,31.97,3.66
14-15-92-00-12-91-b8-9a,10.1,31.99,3.66
14-15-92-00-12-91-b4-1e,11.05,31.92,3.66
14-15-92-00-12-91-b6-66,13.07,32.03,3.66
14-15-92-00-12-91-bd-e3,14.26,32.05,3.66
14-15-92-00-12-91-b0-29,15.41,32.05,3.66
14-15-92-00-12-91-b6-5d,5.44,32.03,2.58
14-15-92-00-12-91-c8-e0,6.4,32.03,2.58
14-15-92-00-12-91-c1-d7,7.45,32.03,2.58
14-15-92-00-12-91-c4-94,8.42,32.03,2.58
14-15-92-00-12-91-b1-93,9.37,32.04,2.58
14-15-92-00-12-91-c8-28,10.3,32.04,2.58
14-15-92-00-12-91-cd-06,11.3,32.02,2.58
14-15-92-00-12-91-af-ed,12.4,32.02,2.58
14-15-92-00-12-91-ba-ea,13.36,31.97,2.58
14-15-92-00-12-91-c1-9c,14.43,31.97,2.58
14-15-92-00-12-91-be-7f,15.41,31.95,2.58
14-15-92-00-12-91-be-cb,2.3,27.37,2.65
14-15-92-00-12-91-ba-2d,17.06,33.57,2.62
14-15-92-00-12-91-ba-a9,3.8,30.85,2.6
14-15-92-00-12-91-ba-d5,15.58,30.97,2.6
14-15-92-00-12-91-be-b6,4.08,32.0,0.37
14-15-92-00-12-91-b4-de,4.82,32.0,0.37
14-15-92-00-12-91-c7-9d,5.72,32.0,0.37
14-15-92-00-12-91-c1-6a,6.46,32.0,0.37
14-15-92-00-12-91-b3-23,3.98,31.72,1.07
14-15-92-00-12-91-b3-96,4.79,31.72,1.07
14-15-92-00-12-91-b4-c1,5.66,31.72,1.07
14-15-92-00-12-91-be-a9,6.48,31.72,1.07
14-15-92-00-12-91-ba-73,4.12,32.14,2.0
14-15-92-00-12-91-b0-92,4.9,32.14,2.0
14-15-92-00-12-91-b2-bc,5.78,32.14,2.0
14-15-92-00-12-91-ba-62,6.5,32.19,2.0
14-15-92-00-12-91-b3-4b,3.88,32.85,0.2
14-15-92-00-12-91-b9-74,4.98,32.89,0.2
14-15-92-00-12-91-b2-30,5.78,32.89,0.2
14-15-92-00-12-91-c3-19,6.53,32.77,0.43
14-15-92-00-12-91-cb-e5,4.1,32.66,1.04
14-15-92-00-12-91-c6-39,4.86,32.66,1.04
14-15-92-00-12-91-bf-ca,6.47,32.69,1.04
14-15-92-00-12-91-c5-fb,4.07,33.08,1.82
14-15-92-00-12-91-c5-52,5.06,33.08,1.8
14-15-92-00-12-91-b4-13,5.95,33.08,1.83
14-15-92-00-12-91-c3-b4,2.34,35.6,2.63
14-15-92-00-12-91-c3-8d,8.81,27.77,3.0
14-15-92-00-12-91-b5-d0,10.91,27.72,3.02
14-15-92-00-12-91-c9-cd,1.98,33.64,2.6
14-15-92-00-12-91-b4-91,2.71,33.57,2.57
14-15-92-00-12-91-be-ab,3.73,33.57,2.57
14-15-92-00-12-91-b0-53,4.81,33.57,2.57
14-15-92-00-12-91-c3-49,5.72,33.57,2.58
14-15-92-00-12-91-be-0f,6.7,33.57,2.59
14-15-92-00-12-91-b8-a3,7.68,33.57,2.59
14-15-92-00-12-91-c4-d1,8.7,33.57,2.6
14-15-92-00-12-91-c6-86,9.7,33.57,2.6
14-15-92-00-12-91-bf-ba,10.69,33.57,2.61
14-15-92-00-12-91-ba-a2,11.71,33.57,2.61
14-15-92-00-12-91-c5-29,12.71,33.57,2.62
14-15-92-00-12-91-b7-c6,13.74,33.57,2.62
14-15-92-00-12-91-cc-dc,14.75,33.57,2.62
14-15-92-00-12-91-b7-4f,15.73,33.57,2.62
14-15-92-00-12-91-bb-93,7.95,34.01,3.6
14-15-92-00-12-91-20-4e,11.23,33.99,3.58
14-15-92-00-12-91-b7-97,2.56,35.07,3.67
14-15-92-00-12-91-b7-1f,3.36,35.07,3.67
14-15-92-00-12-91-c9-8d,4.4,35.07,3.67
14-15-92-00-12-91-bf-ea,5.35,35.07,3.67
14-15-92-00-12-91-bf-cd,6.4,35.07,3.67
14-15-92-00-12-91-af-b3,7.45,35.07,3.67
14-15-92-00-12-91-c0-67,8.43,35.07,3.67
14-15-92-00-12-91-bd-0c,9.75,35.07,3.67
14-15-92-00-12-91-cc-6e,10.76,35.07,3.67
14-15-92-00-12-91-1f-58,11.66,35.07,3.67
14-15-92-00-12-91-c4-de,12.66,35.07,3.67
14-15-92-00-12-91-c8-4d,13.76,35.07,3.67
14-15-92-00-12-91-be-e7,14.76,35.07,3.67
14-15-92-00-12-91-b5-aa,15.78,35.07,3.67
14-15-92-00-12-91-ce-a4,1.91,35.09,2.6
14-15-92-00-12-91-c1-d2,2.75,35.07,2.58
14-15-92-00-12-91-b9-61,3.65,35.07,2.58
14-15-92-00-12-91-b0-13,4.57,35.07,2.58
14-15-92-00-12-91-c4-cf,6.55,35.07,2.58
14-15-92-00-12-91-bf-a1,7.53,35.07,2.58
14-15-92-00-12-91-bb-56,8.54,35.07,2.58
14-15-92-00-12-91-ba-8c,9.56,35.07,2.58
14-15-92-00-12-91-b8-e1,10.66,35.07,2.58
14-15-92-00-12-91-b9-78,11.76,35.07,2.58
14-15-92-00-12-91-ca-c7,12.8,35.07,2.58
14-15-92-00-12-91-b6-c1,2.52,36.37,3.67
14-15-92-00-12-91-b9-c2,3.37,36.37,3.67
14-15-92-00-12-91-af-8d,4.44,36.37,3.67
14-15-92-00-12-91-b1-05,5.39,36.37,3.67
14-15-92-00-12-91-ba-a8,6.55,36.37,3.67
14-15-92-00-12-91-b6-50,7.46,36.37,3.67
14-15-92-00-12-91-b0-97,8.53,36.37,3.67
14-15-92-00-12-91-c1-fd,9.56,36.37,3.67
14-15-92-00-12-91-c0-ce,10.51,36.37,3.67
14-15-92-00-12-91-bf-9c,11.66,36.37,3.67
14-15-92-00-12-91-c9-38,12.55,36.37,3.67
14-15-92-00-12-91-b2-d8,13.55,36.37,3.67
14-15-92-00-12-91-b0-1d,14.61,36.37,3.67
14-15-92-00-12-91-c4-32,15.65,36.37,3.67
14-15-92-00-12-91-20-30,1.93,36.37,2.56
14-15-92-00-12-91-b3-1e,2.91,36.37,2.55
14-15-92-00-12-91-cb-9b,3.91,36.37,2.55
14-15-92-00-12-91-ba-2e,4.91,36.37,2.55
14-15-92-00-12-91-b1-b2,5.91,36.37,2.55
14-15-92-00-12-91-b9-16,6.91,36.37,2.55
14-15-92-00-12-91-c1-5f,7.92,36.34,2.55
14-15-92-00-12-91-1f-69,8.92,36.37,2.55
14-15-92-00-12-91-b8-df,10.02,36.34,2.55
14-15-92-00-12-91-cd-e9,11.07,36.37,2.55
14-15-92-00-12-91-b3-55,12.06,36.37,2.55
14-15-92-00-12-91-ce-d8,13.18,36.37,2.55
14-15-92-00-12-91-cb-46,7.16,37.6,3.37
14-15-92-00-12-91-c8-63,12.23,37.55,3.37
14-15-92-00-12-91-bf-1e,13.25,37.55,3.37
14-15-92-00-12-91-c3-11,14.26,37.55,3.37
14-15-92-00-12-91-b4-f0,15.26,37.55,3.37
14-15-92-00-12-91-ce-be,16.26,37.55,3.37
14-15-92-00-12-91-b6-b3,3.23,37.82,2.8
14-15-92-00-12-91-b5-d5,4.23,37.82,2.95
14-15-92-00-12-91-c8-fd,5.03,37.82,3.1
14-15-92-00-12-91-b8-f3,4.78,37.82,2.3
14-15-92-00-12-91-ca-86,6.13,37.82,2.55
14-15-92-00-12-91-b9-a2,6.91,38.07,3.2
14-15-92-00-12-91-cf-50,6.91,38.07,2.18
14-15-92-00-12-91-bf-b3,6.91,38.87,2.13
14-15-92-00-12-91-b7-2f,12.23,37.77,2.43
14-15-92-00-12-91-c0-8f,12.98,37.77,2.37
14-15-92-00-12-91-b7-e4,13.93,37.77,2.48
14-15-92-00-12-91-c0-0a,14.96,37.77,2.6
14-15-92-00-12-91-cd-fc,16.06,37.77,2.7
14-15-92-00-12-91-b4-51,17.08,37.77,2.2
14-15-92-00-12-91-b4-8c,7.84,38.59,3.35
14-15-92-00-12-91-c3-ee,7.84,39.55,3.35
14-15-92-00-12-91-b8-c3,7.86,40.55,3.35
14-15-92-00-12-91-b7-b6,7.86,41.45,3.35
14-15-92-00-12-91-b1-5e,9.96,38.54,3.6
14-15-92-00-12-91-b4-34,9.98,39.49,3.6
14-15-92-00-12-91-cc-b0,9.98,40.51,3.6
14-15-92-00-12-91-cc-9f,9.98,41.41,3.6
14-15-92-00-12-91-c8-36,9.96,42.41,3.6
14-15-92-00-12-91-ca-8a,11.34,38.57,3.35
14-15-92-00-12-91-cd-71,11.36,39.57,3.35
14-15-92-00-12-91-b2-c4,11.36,40.57,3.35
14-15-92-00-12-91-b3-3f,11.36,41.47,3.35
14-15-92-00-12-91-c3-1a,8.53,37.32,2.57
14-15-92-00-12-91-b5-65,8.53,38.43,2.57
14-15-92-00-12-91-b7-00,8.53,39.45,2.57
14-15-92-00-12-91-c6-3c,10.24,37.34,2.57
14-15-92-00-12-91-c5-cc,10.24,38.24,2.57
14-15-92-00-12-91-ce-e7,10.24,39.47,2.57
14-15-92-00-12-91-c5-43,6.91,39.77,3.5
14-15-92-00-12-91-ce-47,8.83,40.28,2.66
14-15-92-00-12-91-c1-08,6.91,41.77,3.25
14-15-92-00-12-91-bc-0f,9.51,42.8,3.34
14-15-92-00-12-91-ca-22,8.56,40.05,3.7
14-15-92-00-12-91-c6-c4,6.91,40.87,3.53
14-15-92-00-12-91-b1-4d,9.51,41.87,3.34
14-15-92-00-12-91-b8-c8,10.36,40.09,3.7
14-15-92-00-12-91-ce-6c,10.51,38.42,3.37
14-15-92-00-12-91-bd-f0,11.41,42.95,3.63
14-15-92-00-12-91-c8-19,12.23,41.31,3.65
14-15-92-00-12-91-b4-e4,10.24,40.28,2.6
14-15-92-00-12-91-c9-4e,12.23,41.91,3.27
14-15-92-00-12-91-c8-fb,12.23,40.57,3.53
14-15-92-00-12-91-be-2e,7.31,42.95,3.62
14-15-92-00-12-91-c4-ed,8.12,42.95,3.63
14-15-92-00-12-91-b6-69,8.88,42.95,3.63
14-15-92-00-12-91-cd-4c,7.69,41.9,3.35
14-15-92-00-12-91-b8-06,5.7,32.68,1.04
